"export-plot data (NetLogo 3D 6.2.2)"
"Wolf Sheep Predation.nlogo"
"04/06/2022 08:30:16:338 -0500"

"MODEL SETTINGS"
"wolf-gain-from-food","show-energy?","wolf-reproduce","initial-number-wolves","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","sheep-reproduce"
"20","false","5","50","100","""sheep-wolves""","4","30","10"

"""populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","159","0","2020000","true","""sheep""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""sheep""","true","0","1","27","136"
"""wolves""","true","0","1","10","136"
"""grass / 4""","true","0","1","55","0"

"""sheep""",,,,"""wolves""",,,,"""grass / 4"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","100","27","true","0","50","10","true",,,,
"1","109","27","true","1","50","10","true",,,,
"2","118","27","true","2","55","10","true",,,,
"3","125","27","true","3","57","10","true",,,,
"4","133","27","true","4","58","10","true",,,,
"5","147","27","true","5","58","10","true",,,,
"6","165","27","true","6","57","10","true",,,,
"7","173","27","true","7","58","10","true",,,,
"8","185","27","true","8","53","10","true",,,,
"9","201","27","true","9","54","10","true",,,,
"10","211","27","true","10","54","10","true",,,,
"11","228","27","true","11","46","10","true",,,,
"12","247","27","true","12","45","10","true",,,,
"13","269","27","true","13","42","10","true",,,,
"14","284","27","true","14","43","10","true",,,,
"15","312","27","true","15","43","10","true",,,,
"16","334","27","true","16","45","10","true",,,,
"17","370","27","true","17","46","10","true",,,,
"18","395","27","true","18","49","10","true",,,,
"19","432","27","true","19","49","10","true",,,,
"20","464","27","true","20","48","10","true",,,,
"21","505","27","true","21","53","10","true",,,,
"22","540","27","true","22","55","10","true",,,,
"23","574","27","true","23","59","10","true",,,,
"24","616","27","true","24","59","10","true",,,,
"25","662","27","true","25","61","10","true",,,,
"26","711","27","true","26","61","10","true",,,,
"27","761","27","true","27","65","10","true",,,,
"28","818","27","true","28","68","10","true",,,,
"29","876","27","true","29","69","10","true",,,,
"30","935","27","true","30","71","10","true",,,,
"31","1015","27","true","31","73","10","true",,,,
"32","1097","27","true","32","74","10","true",,,,
"33","1200","27","true","33","76","10","true",,,,
"34","1279","27","true","34","80","10","true",,,,
"35","1371","27","true","35","84","10","true",,,,
"36","1482","27","true","36","86","10","true",,,,
"37","1623","27","true","37","92","10","true",,,,
"38","1749","27","true","38","97","10","true",,,,
"39","1889","27","true","39","100","10","true",,,,
"40","2044","27","true","40","107","10","true",,,,
"41","2186","27","true","41","115","10","true",,,,
"42","2336","27","true","42","122","10","true",,,,
"43","2513","27","true","43","134","10","true",,,,
"44","2687","27","true","44","140","10","true",,,,
"45","2864","27","true","45","144","10","true",,,,
"46","3099","27","true","46","149","10","true",,,,
"47","3307","27","true","47","164","10","true",,,,
"48","3516","27","true","48","176","10","true",,,,
"49","3724","27","true","49","184","10","true",,,,
"50","3954","27","true","50","193","10","true",,,,
"51","4236","27","true","51","202","10","true",,,,
"52","4499","27","true","52","211","10","true",,,,
"53","4764","27","true","53","222","10","true",,,,
"54","5077","27","true","54","233","10","true",,,,
"55","5421","27","true","55","244","10","true",,,,
"56","5718","27","true","56","251","10","true",,,,
"57","6065","27","true","57","265","10","true",,,,
"58","6447","27","true","58","282","10","true",,,,
"59","6846","27","true","59","293","10","true",,,,
"60","7260","27","true","60","308","10","true",,,,
"61","7677","27","true","61","325","10","true",,,,
"62","8173","27","true","62","342","10","true",,,,
"63","8681","27","true","63","363","10","true",,,,
"64","9192","27","true","64","378","10","true",,,,
"65","9775","27","true","65","401","10","true",,,,
"66","10324","27","true","66","416","10","true",,,,
"67","11007","27","true","67","437","10","true",,,,
"68","11684","27","true","68","457","10","true",,,,
"69","12465","27","true","69","479","10","true",,,,
"70","13234","27","true","70","505","10","true",,,,
"71","14034","27","true","71","530","10","true",,,,
"72","14965","27","true","72","553","10","true",,,,
"73","15908","27","true","73","583","10","true",,,,
"74","16886","27","true","74","605","10","true",,,,
"75","17974","27","true","75","636","10","true",,,,
"76","19155","27","true","76","674","10","true",,,,
"77","20384","27","true","77","701","10","true",,,,
"78","21773","27","true","78","742","10","true",,,,
"79","23253","27","true","79","788","10","true",,,,
"80","24708","27","true","80","819","10","true",,,,
"81","26401","27","true","81","854","10","true",,,,
"82","28187","27","true","82","896","10","true",,,,
"83","30112","27","true","83","945","10","true",,,,
