"export-plot data (NetLogo 3D 6.2.2)"
"Wolf Sheep Predation.nlogo"
"04/06/2022 08:23:27:290 -0500"

"MODEL SETTINGS"
"wolf-gain-from-food","show-energy?","wolf-reproduce","initial-number-wolves","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","sheep-reproduce"
"20","false","5","50","100","""sheep-wolves""","4","30","4"

"""populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","620","0","5140","true","""sheep""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""sheep""","true","0","1","27","593"
"""wolves""","true","0","1","10","593"
"""grass / 4""","true","0","1","55","0"

"""sheep""",,,,"""wolves""",,,,"""grass / 4"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","100","27","true","0","50","10","true",,,,
"1","101","27","true","1","53","10","true",,,,
"2","101","27","true","2","53","10","true",,,,
"3","105","27","true","3","55","10","true",,,,
"4","105","27","true","4","55","10","true",,,,
"5","108","27","true","5","59","10","true",,,,
"6","110","27","true","6","61","10","true",,,,
"7","113","27","true","7","63","10","true",,,,
"8","120","27","true","8","60","10","true",,,,
"9","125","27","true","9","60","10","true",,,,
"10","132","27","true","10","63","10","true",,,,
"11","133","27","true","11","63","10","true",,,,
"12","137","27","true","12","62","10","true",,,,
"13","138","27","true","13","57","10","true",,,,
"14","145","27","true","14","57","10","true",,,,
"15","149","27","true","15","57","10","true",,,,
"16","153","27","true","16","52","10","true",,,,
"17","162","27","true","17","53","10","true",,,,
"18","168","27","true","18","53","10","true",,,,
"19","173","27","true","19","50","10","true",,,,
"20","180","27","true","20","52","10","true",,,,
"21","179","27","true","21","49","10","true",,,,
"22","184","27","true","22","52","10","true",,,,
"23","187","27","true","23","52","10","true",,,,
"24","197","27","true","24","51","10","true",,,,
"25","198","27","true","25","50","10","true",,,,
"26","208","27","true","26","45","10","true",,,,
"27","213","27","true","27","50","10","true",,,,
"28","216","27","true","28","53","10","true",,,,
"29","223","27","true","29","53","10","true",,,,
"30","229","27","true","30","49","10","true",,,,
"31","231","27","true","31","55","10","true",,,,
"32","233","27","true","32","53","10","true",,,,
"33","239","27","true","33","53","10","true",,,,
"34","241","27","true","34","53","10","true",,,,
"35","245","27","true","35","60","10","true",,,,
"36","256","27","true","36","62","10","true",,,,
"37","259","27","true","37","64","10","true",,,,
"38","266","27","true","38","68","10","true",,,,
"39","267","27","true","39","72","10","true",,,,
"40","263","27","true","40","66","10","true",,,,
"41","265","27","true","41","70","10","true",,,,
"42","272","27","true","42","70","10","true",,,,
"43","278","27","true","43","75","10","true",,,,
"44","279","27","true","44","70","10","true",,,,
"45","276","27","true","45","69","10","true",,,,
"46","291","27","true","46","72","10","true",,,,
"47","298","27","true","47","76","10","true",,,,
"48","300","27","true","48","82","10","true",,,,
"49","305","27","true","49","82","10","true",,,,
"50","310","27","true","50","83","10","true",,,,
"51","310","27","true","51","86","10","true",,,,
"52","311","27","true","52","91","10","true",,,,
"53","311","27","true","53","90","10","true",,,,
"54","315","27","true","54","93","10","true",,,,
"55","321","27","true","55","90","10","true",,,,
"56","327","27","true","56","91","10","true",,,,
"57","323","27","true","57","90","10","true",,,,
"58","328","27","true","58","93","10","true",,,,
"59","323","27","true","59","91","10","true",,,,
"60","329","27","true","60","97","10","true",,,,
"61","326","27","true","61","99","10","true",,,,
"62","335","27","true","62","103","10","true",,,,
"63","341","27","true","63","104","10","true",,,,
"64","345","27","true","64","106","10","true",,,,
"65","347","27","true","65","107","10","true",,,,
"66","351","27","true","66","111","10","true",,,,
"67","351","27","true","67","116","10","true",,,,
"68","356","27","true","68","117","10","true",,,,
"69","362","27","true","69","120","10","true",,,,
"70","365","27","true","70","126","10","true",,,,
"71","376","27","true","71","132","10","true",,,,
"72","382","27","true","72","140","10","true",,,,
"73","382","27","true","73","143","10","true",,,,
"74","381","27","true","74","155","10","true",,,,
"75","386","27","true","75","167","10","true",,,,
"76","385","27","true","76","168","10","true",,,,
"77","374","27","true","77","173","10","true",,,,
"78","368","27","true","78","176","10","true",,,,
"79","361","27","true","79","176","10","true",,,,
"80","361","27","true","80","180","10","true",,,,
"81","359","27","true","81","186","10","true",,,,
"82","355","27","true","82","187","10","true",,,,
"83","348","27","true","83","191","10","true",,,,
"84","330","27","true","84","198","10","true",,,,
"85","323","27","true","85","204","10","true",,,,
"86","317","27","true","86","208","10","true",,,,
"87","308","27","true","87","215","10","true",,,,
"88","299","27","true","88","224","10","true",,,,
"89","294","27","true","89","226","10","true",,,,
"90","287","27","true","90","239","10","true",,,,
"91","278","27","true","91","242","10","true",,,,
"92","264","27","true","92","248","10","true",,,,
"93","256","27","true","93","256","10","true",,,,
"94","249","27","true","94","254","10","true",,,,
"95","234","27","true","95","264","10","true",,,,
"96","224","27","true","96","263","10","true",,,,
"97","217","27","true","97","275","10","true",,,,
"98","207","27","true","98","277","10","true",,,,
"99","192","27","true","99","285","10","true",,,,
"100","184","27","true","100","299","10","true",,,,
"101","171","27","true","101","312","10","true",,,,
"102","161","27","true","102","310","10","true",,,,
"103","150","27","true","103","320","10","true",,,,
"104","150","27","true","104","325","10","true",,,,
"105","145","27","true","105","337","10","true",,,,
"106","131","27","true","106","344","10","true",,,,
"107","118","27","true","107","355","10","true",,,,
"108","107","27","true","108","357","10","true",,,,
"109","100","27","true","109","357","10","true",,,,
"110","98","27","true","110","368","10","true",,,,
"111","92","27","true","111","370","10","true",,,,
"112","82","27","true","112","363","10","true",,,,
"113","78","27","true","113","374","10","true",,,,
"114","66","27","true","114","374","10","true",,,,
"115","65","27","true","115","380","10","true",,,,
"116","58","27","true","116","383","10","true",,,,
"117","59","27","true","117","379","10","true",,,,
"118","54","27","true","118","362","10","true",,,,
"119","46","27","true","119","359","10","true",,,,
"120","42","27","true","120","346","10","true",,,,
"121","39","27","true","121","334","10","true",,,,
"122","38","27","true","122","323","10","true",,,,
"123","33","27","true","123","310","10","true",,,,
"124","32","27","true","124","300","10","true",,,,
"125","30","27","true","125","291","10","true",,,,
"126","28","27","true","126","288","10","true",,,,
"127","30","27","true","127","265","10","true",,,,
"128","32","27","true","128","260","10","true",,,,
"129","33","27","true","129","261","10","true",,,,
"130","30","27","true","130","241","10","true",,,,
"131","30","27","true","131","235","10","true",,,,
"132","26","27","true","132","232","10","true",,,,
"133","25","27","true","133","232","10","true",,,,
"134","20","27","true","134","236","10","true",,,,
"135","19","27","true","135","228","10","true",,,,
"136","18","27","true","136","212","10","true",,,,
"137","17","27","true","137","195","10","true",,,,
"138","15","27","true","138","180","10","true",,,,
"139","15","27","true","139","158","10","true",,,,
"140","16","27","true","140","154","10","true",,,,
"141","18","27","true","141","141","10","true",,,,
"142","17","27","true","142","124","10","true",,,,
"143","16","27","true","143","123","10","true",,,,
"144","16","27","true","144","123","10","true",,,,
"145","16","27","true","145","121","10","true",,,,
"146","16","27","true","146","107","10","true",,,,
"147","17","27","true","147","103","10","true",,,,
"148","18","27","true","148","98","10","true",,,,
"149","18","27","true","149","99","10","true",,,,
"150","18","27","true","150","98","10","true",,,,
"151","19","27","true","151","95","10","true",,,,
"152","20","27","true","152","89","10","true",,,,
"153","21","27","true","153","86","10","true",,,,
"154","20","27","true","154","88","10","true",,,,
"155","20","27","true","155","73","10","true",,,,
"156","20","27","true","156","63","10","true",,,,
"157","20","27","true","157","56","10","true",,,,
"158","21","27","true","158","48","10","true",,,,
"159","20","27","true","159","44","10","true",,,,
"160","20","27","true","160","39","10","true",,,,
"161","21","27","true","161","35","10","true",,,,
"162","21","27","true","162","32","10","true",,,,
"163","22","27","true","163","33","10","true",,,,
"164","23","27","true","164","30","10","true",,,,
"165","22","27","true","165","29","10","true",,,,
"166","22","27","true","166","30","10","true",,,,
"167","22","27","true","167","26","10","true",,,,
"168","23","27","true","168","26","10","true",,,,
"169","23","27","true","169","23","10","true",,,,
"170","23","27","true","170","21","10","true",,,,
"171","23","27","true","171","21","10","true",,,,
"172","23","27","true","172","19","10","true",,,,
"173","25","27","true","173","17","10","true",,,,
"174","25","27","true","174","18","10","true",,,,
"175","25","27","true","175","15","10","true",,,,
"176","26","27","true","176","12","10","true",,,,
"177","28","27","true","177","12","10","true",,,,
"178","29","27","true","178","11","10","true",,,,
"179","30","27","true","179","11","10","true",,,,
"180","30","27","true","180","11","10","true",,,,
"181","31","27","true","181","11","10","true",,,,
"182","33","27","true","182","11","10","true",,,,
"183","33","27","true","183","7","10","true",,,,
"184","32","27","true","184","7","10","true",,,,
"185","32","27","true","185","5","10","true",,,,
"186","34","27","true","186","5","10","true",,,,
"187","37","27","true","187","4","10","true",,,,
"188","42","27","true","188","4","10","true",,,,
"189","42","27","true","189","4","10","true",,,,
"190","44","27","true","190","4","10","true",,,,
"191","45","27","true","191","4","10","true",,,,
"192","48","27","true","192","5","10","true",,,,
"193","50","27","true","193","5","10","true",,,,
"194","52","27","true","194","5","10","true",,,,
"195","55","27","true","195","3","10","true",,,,
"196","55","27","true","196","3","10","true",,,,
"197","57","27","true","197","2","10","true",,,,
"198","59","27","true","198","2","10","true",,,,
"199","63","27","true","199","1","10","true",,,,
"200","67","27","true","200","1","10","true",,,,
"201","68","27","true","201","1","10","true",,,,
"202","74","27","true","202","1","10","true",,,,
"203","75","27","true","203","2","10","true",,,,
"204","77","27","true","204","2","10","true",,,,
"205","82","27","true","205","2","10","true",,,,
"206","83","27","true","206","3","10","true",,,,
"207","86","27","true","207","4","10","true",,,,
"208","86","27","true","208","4","10","true",,,,
"209","90","27","true","209","4","10","true",,,,
"210","91","27","true","210","4","10","true",,,,
"211","92","27","true","211","4","10","true",,,,
"212","96","27","true","212","4","10","true",,,,
"213","98","27","true","213","4","10","true",,,,
"214","105","27","true","214","4","10","true",,,,
"215","109","27","true","215","5","10","true",,,,
"216","113","27","true","216","5","10","true",,,,
"217","119","27","true","217","3","10","true",,,,
"218","126","27","true","218","3","10","true",,,,
"219","127","27","true","219","3","10","true",,,,
"220","134","27","true","220","3","10","true",,,,
