sheepX,sheepY,wolfX,wolfY
0,249,0,73
1,248,1,73
2,248,2,72
3,249,3,72
4,249,4,72
5,251,5,72
6,254,6,72
7,253,7,72
8,250,8,72
9,250,9,71
10,257,10,71
11,257,11,71
12,253,12,71
13,255,13,71
14,252,14,71
15,257,15,69
16,261,16,69
17,266,17,68
18,265,18,68
19,267,19,68
20,269,20,68
21,266,21,68
22,269,22,68
23,274,23,68
24,268,24,68
25,266,25,68
26,259,26,68
27,262,27,68
28,264,28,68
29,262,29,68
30,262,30,67
31,266,31,67
32,268,32,67
33,263,33,67
34,263,34,67
35,263,35,67
36,270,36,67
37,267,37,67
38,265,38,67
39,262,39,67
40,259,40,67
41,253,41,67
42,247,42,67
43,247,43,67
44,252,44,67
45,253,45,67
46,251,46,67
47,253,47,67
48,256,48,67
49,254,49,67
50,251,50,67
51,246,51,67
52,254,52,67
53,251,53,67
54,250,54,67
55,247,55,67
56,245,56,67
57,247,57,67
58,250,58,67
59,254,59,67
60,255,60,67
61,255,61,67
62,256,62,67
63,258,63,67
64,257,64,67
65,262,65,67
66,266,66,67
67,261,67,67
68,267,68,67
69,263,69,67
70,257,70,67
71,252,71,67
72,255,72,67
73,256,73,66
74,260,74,66
75,261,75,66
76,258,76,66
77,262,77,66
78,263,78,66
79,260,79,66
80,261,80,66
81,263,81,66
82,261,82,66
83,263,83,66
84,264,84,66
85,265,85,66
86,269,86,66
87,273,87,66
88,273,88,66
89,278,89,66
90,282,90,66
91,280,91,66
92,288,92,66
93,287,93,66
94,282,94,66
95,280,95,66
96,278,96,66
97,277,97,66
98,275,98,66
99,281,99,66
100,288,100,66
101,286,101,66
102,287,102,66
103,283,103,66
104,280,104,66
105,278,105,66
106,279,106,66
107,277,107,66
108,275,108,66
109,269,109,66
110,267,110,66
111,267,111,66
112,265,112,66
113,264,113,66
114,258,114,66
115,255,115,66
116,257,116,66
117,261,117,66
118,261,118,66
119,255,119,66
120,250,120,66
121,248,121,66
122,250,122,66
123,252,123,66
124,254,124,66
125,254,125,66
126,251,126,66
127,255,127,66
128,255,128,66
129,257,129,66
130,259,130,66
131,257,131,66
132,258,132,66
133,259,133,66
134,263,134,66
135,267,135,66
136,270,136,66
137,266,137,66
138,267,138,66
139,264,139,66
140,258,140,66
141,262,141,66
142,254,142,66
143,258,143,66
144,252,144,66
145,251,145,66
146,259,146,66
147,253,147,66
148,258,148,66
149,265,149,66
150,257,150,66
151,258,151,66
152,262,152,66
153,262,153,66
154,261,154,66
155,261,155,66
156,258,156,66
157,256,157,66
158,254,158,66
159,252,159,66
160,250,160,66
161,251,161,66
162,250,162,66
163,257,163,66
164,254,164,66
165,256,165,66
166,257,166,66
167,253,167,66
168,253,168,66
169,248,169,66
170,244,170,66
171,245,171,66
172,247,172,66
173,246,173,66
174,246,174,66
175,246,175,66
176,249,176,66
177,248,177,66
178,248,178,66
179,245,179,66
180,250,180,66
181,250,181,66
182,251,182,66
183,252,183,66
184,253,184,66
185,257,185,66
186,259,186,66
187,259,187,66
188,258,188,66
189,254,189,66
190,255,190,66
191,258,191,66
192,257,192,66
193,256,193,66
194,253,194,66
195,252,195,66
196,247,196,66
197,244,197,66
198,244,198,66
199,246,199,66
200,248,200,66
201,246,201,66
202,246,202,66
203,248,203,66
204,250,204,66
205,248,205,66
206,248,206,66
207,249,207,66
208,242,208,66
209,242,209,66
210,245,210,66
211,246,211,66
212,251,212,66
213,249,213,66
214,250,214,66
215,248,215,66
216,256,216,66
217,260,217,66
218,262,218,66
219,264,219,66
220,266,220,66
221,266,221,66
222,271,222,66
223,279,223,66
224,281,224,66
225,276,225,66
226,277,226,66
227,275,227,66
228,272,228,66
229,269,229,66
230,268,230,66
231,262,231,66
232,263,232,66
233,264,233,66
234,266,234,66
235,267,235,66
236,267,236,66
237,269,237,66
238,266,238,66
239,265,239,66
240,260,240,66
241,263,241,66
242,261,242,66
243,263,243,66
244,261,244,66
245,258,245,66
246,258,246,66
247,262,247,66
248,265,248,66
249,262,249,66
250,262,250,66
251,262,251,66
252,261,252,66
253,261,253,66
254,258,254,66
255,258,255,66
256,259,256,66
257,261,257,66
258,262,258,66
259,259,259,66
260,259,260,66
261,257,261,66
262,262,262,66
263,265,263,66
264,269,264,66
265,270,265,66
266,271,266,66
267,276,267,66
268,280,268,66
269,275,269,66
270,279,270,66
271,273,271,66
272,279,272,66
273,280,273,66
274,282,274,66
275,282,275,66
276,283,276,66
277,277,277,66
278,282,278,66
279,284,279,66
280,289,280,66
281,289,281,66
282,286,282,66
283,279,283,66
284,280,284,66
285,282,285,66
286,281,286,66
287,282,287,66
288,275,288,66
289,275,289,66
290,277,290,66
291,271,291,66
292,269,292,66
293,269,293,66
294,267,294,66
295,265,295,66
296,265,296,66
297,267,297,66
298,265,298,66
299,269,299,66
300,272,300,66
301,269,301,66
302,269,302,66
303,270,303,66
304,267,304,66
305,273,305,66
306,277,306,66
307,280,307,66
308,281,308,66
309,279,309,66
310,277,310,66
311,278,311,66
312,274,312,66
313,274,313,66
314,279,314,66
315,284,315,66
316,277,316,66
317,276,317,66
318,277,318,66
319,280,319,66
320,284,320,66
321,282,321,66
322,287,322,66
323,289,323,66
324,285,324,66
325,280,325,66
326,280,326,66
327,279,327,66
328,276,328,66
329,277,329,66
330,290,330,66
331,286,331,66
332,287,332,66
333,282,333,66
334,275,334,66
335,275,335,66
336,277,336,66
337,284,337,66
338,286,338,66
339,288,339,66
340,287,340,66
341,285,341,66
342,287,342,66
343,289,343,66
344,290,344,66
345,293,345,66
346,288,346,66
347,293,347,66
348,296,348,66
349,295,349,66
350,293,350,66
351,292,351,66
352,291,352,66
353,292,353,66
354,295,354,66
355,291,355,66
356,292,356,66
357,294,357,66
358,294,358,66
359,294,359,66
360,288,360,66
361,290,361,66
362,286,362,66
363,288,363,66
364,287,364,66
365,288,365,66
366,291,366,66
367,293,367,66
368,294,368,66
369,293,369,66
370,295,370,66
371,295,371,66
372,296,372,66
373,299,373,66
374,298,374,66
375,300,375,66
376,306,376,66
377,304,377,66
378,300,378,66
379,306,379,66
380,306,380,66
381,309,381,66
382,306,382,66
383,310,383,66
384,306,384,66
385,300,385,66
386,306,386,66
387,303,387,66
388,299,388,66
389,297,389,66
390,298,390,66
391,297,391,66
392,296,392,66
393,298,393,66
394,295,394,66
395,296,395,66
396,297,396,66
397,301,397,66
398,301,398,66
399,302,399,66
400,297,400,66
401,297,401,66
402,300,402,66
403,307,403,66
404,304,404,66
405,300,405,66
406,303,406,66
407,304,407,66
408,304,408,66
409,304,409,66
410,306,410,66
411,305,411,66
412,299,412,66
413,295,413,66
414,293,414,66
415,291,415,66
416,292,416,66
417,297,417,66
418,295,418,66
419,294,419,66
420,294,420,66
421,293,421,66
422,287,422,66
423,280,423,66
424,277,424,66
425,282,425,66
426,278,426,66
427,279,427,66
428,281,428,66
429,281,429,66
430,283,430,66
431,284,431,66
432,282,432,66
433,284,433,66
434,282,434,66
435,275,435,66
436,277,436,66
437,278,437,66
438,273,438,66
439,273,439,66
440,271,440,66
441,273,441,66
442,272,442,66
443,271,443,66
444,268,444,66
445,269,445,66
446,271,446,66
447,271,447,66
448,269,448,66
449,275,449,66
450,277,450,66
451,283,451,66
452,283,452,66
453,284,453,66
454,285,454,66
455,281,455,66
456,281,456,66
457,284,457,66
458,286,458,66
459,289,459,66
460,288,460,66
461,286,461,66
462,285,462,66
463,280,463,66
464,276,464,66
465,268,465,66
466,270,466,66
467,271,467,66
468,272,468,66
469,277,469,66
470,277,470,66
471,281,471,66
472,285,472,66
473,279,473,66
474,280,474,66
475,274,475,66
476,269,476,66
477,269,477,66
478,267,478,66
479,264,479,66
480,265,480,66
481,268,481,66
482,266,482,66
483,264,483,66
484,266,484,66
485,263,485,66
486,261,486,66
487,266,487,66
488,263,488,66
489,269,489,66
490,270,490,66
491,269,491,66
492,271,492,66
493,271,493,66
494,267,494,66
495,264,495,66
496,267,496,66
497,266,497,66
498,268,498,66
499,258,499,66
500,256,500,66
501,253,501,66
502,248,502,66
503,248,503,66
504,247,504,66
505,248,505,66
506,252,506,66
507,251,507,66
508,252,508,66
509,253,509,66
510,253,510,66
511,250,511,66
512,243,512,66
513,244,513,66
514,241,514,66
515,239,515,66
516,240,516,66
517,238,517,66
518,237,518,66
519,237,519,66
520,234,520,66
521,233,521,66
522,234,522,66
523,233,523,66
524,234,524,66
525,228,525,66
526,228,526,66
527,229,527,66
528,224,528,66
529,226,529,66
530,225,530,66
531,226,531,66
532,224,532,66
533,220,533,66
534,219,534,66
535,222,535,66
536,224,536,66
537,221,537,66
538,218,538,66
539,214,539,66
540,213,540,66
541,220,541,66
542,219,542,66
543,220,543,66
544,226,544,66
545,225,545,66
546,228,546,66
547,227,547,66
548,228,548,66
549,226,549,66
550,225,550,66
551,224,551,66
552,223,552,66
553,225,553,66
554,222,554,66
555,221,555,66
556,224,556,66
557,225,557,66
558,228,558,66
559,225,559,66
560,228,560,66
561,230,561,66
562,230,562,66
563,230,563,66
564,226,564,66
565,222,565,66
566,222,566,66
567,221,567,66
568,220,568,66
569,223,569,66
570,220,570,66
571,220,571,66
572,217,572,66
573,213,573,66
574,210,574,66
575,209,575,66
576,203,576,66
577,204,577,66
578,204,578,66
579,205,579,66
580,208,580,66
581,207,581,66
582,209,582,66
583,212,583,66
584,211,584,66
585,213,585,66
586,215,586,66
587,213,587,66
588,213,588,66
589,216,589,66
590,215,590,66
591,216,591,66
592,217,592,66
593,214,593,66
594,221,594,66
595,224,595,66
596,225,596,66
597,222,597,66
598,220,598,66
599,221,599,66
600,223,600,66
601,224,601,66
602,222,602,66
603,222,603,66
604,223,604,66
605,224,605,66
606,221,606,66
607,215,607,66
608,213,608,66
609,214,609,66
610,209,610,66
611,209,611,66
612,214,612,66
613,213,613,66
614,216,614,66
615,221,615,66
616,216,616,66
617,219,617,66
618,221,618,66
619,222,619,66
620,223,620,66
621,223,621,66
622,224,622,66
623,227,623,66
624,227,624,66
625,227,625,66
626,226,626,66
627,226,627,66
628,227,628,66
629,228,629,66
630,228,630,66
631,222,631,66
632,224,632,66
633,223,633,66
634,225,634,66
635,226,635,66
636,227,636,66
637,231,637,66
638,235,638,66
639,237,639,66
640,238,640,66
641,235,641,66
642,233,642,66
