"export-plot data (NetLogo 3D 6.2.2)"
"Wolf Sheep Predation.nlogo"
"04/06/2022 08:20:56:824 -0500"

"MODEL SETTINGS"
"wolf-gain-from-food","show-energy?","wolf-reproduce","initial-number-wolves","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","sheep-reproduce"
"20","false","5","50","100","""sheep-wolves""","4","30","4"

"""populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","395","0","31700","true","""sheep""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""sheep""","true","0","1","27","375"
"""wolves""","true","0","1","10","375"
"""grass / 4""","true","0","1","55","0"

"""sheep""",,,,"""wolves""",,,,"""grass / 4"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","100","27","true","0","50","10","true",,,,
"1","104","27","true","1","51","10","true",,,,
"2","106","27","true","2","49","10","true",,,,
"3","108","27","true","3","49","10","true",,,,
"4","112","27","true","4","52","10","true",,,,
"5","114","27","true","5","57","10","true",,,,
"6","121","27","true","6","57","10","true",,,,
"7","125","27","true","7","63","10","true",,,,
"8","125","27","true","8","66","10","true",,,,
"9","122","27","true","9","68","10","true",,,,
"10","123","27","true","10","68","10","true",,,,
"11","122","27","true","11","64","10","true",,,,
"12","121","27","true","12","63","10","true",,,,
"13","122","27","true","13","58","10","true",,,,
"14","126","27","true","14","57","10","true",,,,
"15","128","27","true","15","56","10","true",,,,
"16","128","27","true","16","61","10","true",,,,
"17","130","27","true","17","61","10","true",,,,
"18","132","27","true","18","60","10","true",,,,
"19","140","27","true","19","60","10","true",,,,
"20","148","27","true","20","56","10","true",,,,
"21","152","27","true","21","53","10","true",,,,
"22","153","27","true","22","51","10","true",,,,
"23","151","27","true","23","51","10","true",,,,
"24","162","27","true","24","50","10","true",,,,
"25","164","27","true","25","47","10","true",,,,
"26","172","27","true","26","47","10","true",,,,
"27","175","27","true","27","47","10","true",,,,
"28","180","27","true","28","49","10","true",,,,
"29","186","27","true","29","47","10","true",,,,
"30","190","27","true","30","48","10","true",,,,
"31","192","27","true","31","48","10","true",,,,
"32","193","27","true","32","49","10","true",,,,
"33","192","27","true","33","46","10","true",,,,
"34","197","27","true","34","48","10","true",,,,
"35","202","27","true","35","45","10","true",,,,
"36","205","27","true","36","47","10","true",,,,
"37","209","27","true","37","51","10","true",,,,
"38","213","27","true","38","53","10","true",,,,
"39","216","27","true","39","55","10","true",,,,
"40","225","27","true","40","56","10","true",,,,
"41","228","27","true","41","58","10","true",,,,
"42","229","27","true","42","61","10","true",,,,
"43","231","27","true","43","61","10","true",,,,
"44","227","27","true","44","60","10","true",,,,
"45","230","27","true","45","56","10","true",,,,
"46","233","27","true","46","58","10","true",,,,
"47","241","27","true","47","56","10","true",,,,
"48","252","27","true","48","54","10","true",,,,
"49","249","27","true","49","55","10","true",,,,
"50","258","27","true","50","57","10","true",,,,
"51","261","27","true","51","62","10","true",,,,
"52","270","27","true","52","67","10","true",,,,
"53","272","27","true","53","68","10","true",,,,
"54","271","27","true","54","73","10","true",,,,
"55","275","27","true","55","75","10","true",,,,
"56","273","27","true","56","78","10","true",,,,
"57","283","27","true","57","76","10","true",,,,
"58","290","27","true","58","78","10","true",,,,
"59","287","27","true","59","79","10","true",,,,
"60","292","27","true","60","80","10","true",,,,
"61","293","27","true","61","79","10","true",,,,
"62","295","27","true","62","80","10","true",,,,
"63","302","27","true","63","83","10","true",,,,
"64","306","27","true","64","82","10","true",,,,
"65","311","27","true","65","87","10","true",,,,
"66","323","27","true","66","86","10","true",,,,
"67","329","27","true","67","84","10","true",,,,
"68","336","27","true","68","89","10","true",,,,
"69","348","27","true","69","86","10","true",,,,
"70","354","27","true","70","90","10","true",,,,
"71","357","27","true","71","96","10","true",,,,
"72","356","27","true","72","102","10","true",,,,
"73","362","27","true","73","107","10","true",,,,
"74","368","27","true","74","113","10","true",,,,
"75","363","27","true","75","117","10","true",,,,
"76","361","27","true","76","124","10","true",,,,
"77","368","27","true","77","124","10","true",,,,
"78","374","27","true","78","127","10","true",,,,
"79","389","27","true","79","131","10","true",,,,
"80","389","27","true","80","134","10","true",,,,
"81","384","27","true","81","136","10","true",,,,
"82","379","27","true","82","138","10","true",,,,
"83","376","27","true","83","140","10","true",,,,
"84","373","27","true","84","143","10","true",,,,
"85","371","27","true","85","147","10","true",,,,
"86","372","27","true","86","158","10","true",,,,
"87","369","27","true","87","161","10","true",,,,
"88","367","27","true","88","163","10","true",,,,
"89","361","27","true","89","164","10","true",,,,
"90","357","27","true","90","170","10","true",,,,
"91","355","27","true","91","169","10","true",,,,
"92","354","27","true","92","173","10","true",,,,
"93","362","27","true","93","179","10","true",,,,
"94","362","27","true","94","186","10","true",,,,
"95","360","27","true","95","189","10","true",,,,
"96","349","27","true","96","197","10","true",,,,
"97","345","27","true","97","203","10","true",,,,
"98","332","27","true","98","210","10","true",,,,
"99","329","27","true","99","225","10","true",,,,
"100","322","27","true","100","239","10","true",,,,
