sheepX,sheepY,sheepX,sheepY
0,100,0,50
1,109,1,50
2,118,2,55
3,125,3,57
4,133,4,58
5,147,5,58
6,165,6,57
7,173,7,58
8,185,8,53
9,201,9,54
10,211,10,54
11,228,11,46
12,247,12,45
13,269,13,42
14,284,14,43
15,312,15,43
16,334,16,45
17,370,17,46
18,395,18,49
19,432,19,49
20,464,20,48
21,505,21,53
22,540,22,55
23,574,23,59
24,616,24,59
25,662,25,61
26,711,26,61
27,761,27,65
28,818,28,68
29,876,29,69
30,935,30,71
31,1015,31,73
32,1097,32,74
33,1200,33,76
34,1279,34,80
35,1371,35,84
36,1482,36,86
37,1623,37,92
38,1749,38,97
39,1889,39,100
40,2044,40,107
41,2186,41,115
42,2336,42,122
43,2513,43,134
44,2687,44,140
45,2864,45,144
46,3099,46,149
47,3307,47,164
48,3516,48,176
49,3724,49,184
50,3954,50,193
51,4236,51,202
52,4499,52,211
53,4764,53,222
54,5077,54,233
55,5421,55,244
56,5718,56,251
57,6065,57,265
58,6447,58,282
59,6846,59,293
60,7260,60,308
61,7677,61,325
62,8173,62,342
63,8681,63,363
64,9192,64,378
65,9775,65,401
66,10324,66,416
67,11007,67,437
68,11684,68,457
69,12465,69,479
70,13234,70,505
71,14034,71,530
72,14965,72,553
73,15908,73,583
74,16886,74,605
75,17974,75,636
76,19155,76,674
77,20384,77,701
78,21773,78,742
79,23253,79,788
80,24708,80,819
81,26401,81,854
82,28187,82,896
83,30112,83,945
84,32069,84,982
85,34281,85,1027
86,36687,86,1076
87,39298,87,1131
88,42014,88,1176
89,45051,89,1237
90,48358,90,1299
91,51925,91,1380
92,55858,92,1449
93,59876,93,1507
94,64360,94,1591
95,69272,95,1665
96,74433,96,1749
97,80114,97,1831
98,86333,98,1944
99,92927,99,2054
100,100261,100,2160
101,108125,101,2240
102,116623,102,2361
103,125884,103,2496
104,135884,104,2618
105,146833,105,2747
106,158725,106,2882
107,171663,107,3046
108,185880,108,3198
109,201277,109,3365
110,218144,110,3518
111,236456,111,3699
112,256195,112,3880
113,278061,113,4069
114,302101,114,4285
115,328194,115,4515
116,356633,116,4731
117,387752,117,4996
118,421634,118,5236
119,458424,119,5513
120,498601,120,5779
121,542626,121,6065
122,590834,122,6373
123,643366,123,6698
124,701042,124,7052
125,764323,125,7383
126,833291,126,7738
127,908944,127,8165
128,991646,128,8581
129,1082037,129,9021
130,1181711,130,9453
131,1290851,131,9903
132,1409775,132,10399
133,1540311,133,10920
134,1683620,134,11463
135,1840062,135,12009
136,2011369,136,12639
