sheepX,sheepY,wolfX,wolfY
0,100,0,50
1,104,1,51
2,106,2,49
3,108,3,49
4,112,4,52
5,114,5,57
6,121,6,57
7,125,7,63
8,125,8,66
9,122,9,68
10,123,10,68
11,122,11,64
12,121,12,63
13,122,13,58
14,126,14,57
15,128,15,56
16,128,16,61
17,130,17,61
18,132,18,60
19,140,19,60
20,148,20,56
21,152,21,53
22,153,22,51
23,151,23,51
24,162,24,50
25,164,25,47
26,172,26,47
27,175,27,47
28,180,28,49
29,186,29,47
30,190,30,48
31,192,31,48
32,193,32,49
33,192,33,46
34,197,34,48
35,202,35,45
36,205,36,47
37,209,37,51
38,213,38,53
39,216,39,55
40,225,40,56
41,228,41,58
42,229,42,61
43,231,43,61
44,227,44,60
45,230,45,56
46,233,46,58
47,241,47,56
48,252,48,54
49,249,49,55
50,258,50,57
51,261,51,62
52,270,52,67
53,272,53,68
54,271,54,73
55,275,55,75
56,273,56,78
57,283,57,76
58,290,58,78
59,287,59,79
60,292,60,80
61,293,61,79
62,295,62,80
63,302,63,83
64,306,64,82
65,311,65,87
66,323,66,86
67,329,67,84
68,336,68,89
69,348,69,86
70,354,70,90
71,357,71,96
72,356,72,102
73,362,73,107
74,368,74,113
75,363,75,117
76,361,76,124
77,368,77,124
78,374,78,127
79,389,79,131
80,389,80,134
81,384,81,136
82,379,82,138
83,376,83,140
84,373,84,143
85,371,85,147
86,372,86,158
87,369,87,161
88,367,88,163
89,361,89,164
90,357,90,170
91,355,91,169
92,354,92,173
93,362,93,179
94,362,94,186
95,360,95,189
96,349,96,197
97,345,97,203
98,332,98,210
99,329,99,225
100,322,100,239
101,298,101,245
102,291,102,241
103,278,103,254
104,273,104,255
105,261,105,268
106,252,106,282
107,246,107,290
108,245,108,298
109,238,109,302
110,233,110,316
111,218,111,329
112,202,112,340
113,184,113,347
114,169,114,344
115,158,115,350
116,145,116,351
117,143,117,358
118,139,118,361
119,129,119,378
120,111,120,368
121,102,121,370
122,96,122,371
123,93,123,390
124,91,124,394
125,89,125,399
126,84,126,418
127,77,127,413
128,66,128,408
129,60,129,414
130,47,130,411
131,39,131,408
132,33,132,403
133,31,133,401
134,31,134,397
135,31,135,389
136,30,136,374
137,26,137,359
138,22,138,350
139,19,139,340
140,17,140,323
141,15,141,321
142,14,142,310
143,12,143,294
144,10,144,288
145,9,145,276
146,9,146,269
147,9,147,249
148,12,148,243
149,12,149,228
150,13,150,200
151,12,151,189
152,12,152,187
153,11,153,179
154,11,154,157
155,9,155,143
156,9,156,132
157,9,157,129
158,9,158,125
159,8,159,124
160,8,160,116
161,9,161,102
162,9,162,97
163,9,163,90
164,10,164,83
165,11,165,85
166,11,166,85
167,10,167,84
168,13,168,72
169,13,169,67
170,13,170,63
171,13,171,46
172,13,172,39
173,13,173,35
174,13,174,31
175,13,175,30
176,13,176,32
177,13,177,31
178,13,178,27
179,13,179,30
180,14,180,25
181,15,181,22
182,17,182,23
183,18,183,23
184,18,184,14
185,19,185,16
186,20,186,16
187,20,187,6
188,20,188,6
189,20,189,5
190,20,190,5
191,20,191,5
192,20,192,5
193,22,193,4
194,22,194,4
195,25,195,4
196,26,196,4
197,28,197,5
198,28,198,5
199,30,199,6
200,30,200,5
201,31,201,5
202,31,202,4
203,33,203,4
204,34,204,3
205,38,205,3
206,39,206,3
207,40,207,3
208,40,208,2
209,42,209,2
210,45,210,2
211,48,211,2
212,51,212,2
213,51,213,2
214,53,214,2
215,56,215,2
216,57,216,3
217,57,217,4
218,59,218,3
219,60,219,3
220,60,220,2
221,62,221,2
222,66,222,2
223,68,223,2
224,70,224,2
225,77,225,2
226,79,226,2
227,82,227,2
228,87,228,2
229,90,229,0
230,98,230,0
231,100,231,0
232,104,232,0
233,108,233,0
234,112,234,0
235,118,235,0
236,121,236,0
237,128,237,0
238,132,238,0
239,135,239,0
240,140,240,0
241,144,241,0
242,151,242,0
243,159,243,0
244,162,244,0
245,171,245,0
246,177,246,0
247,185,247,0
248,189,248,0
249,196,249,0
250,204,250,0
251,210,251,0
252,221,252,0
253,231,253,0
254,240,254,0
255,253,255,0
256,262,256,0
257,277,257,0
258,290,258,0
259,304,259,0
260,314,260,0
261,329,261,0
262,341,262,0
263,356,263,0
264,368,264,0
265,381,265,0
266,402,266,0
267,416,267,0
268,436,268,0
269,456,269,0
270,477,270,0
271,498,271,0
272,522,272,0
273,546,273,0
274,570,274,0
275,586,275,0
276,604,276,0
277,637,277,0
278,660,278,0
279,690,279,0
280,715,280,0
281,742,281,0
282,781,282,0
283,809,283,0
284,834,284,0
285,870,285,0
286,909,286,0
287,942,287,0
288,980,288,0
289,1016,289,0
290,1052,290,0
291,1112,291,0
292,1161,292,0
293,1211,293,0
294,1261,294,0
295,1316,295,0
296,1365,296,0
297,1423,297,0
298,1491,298,0
299,1550,299,0
300,1603,300,0
301,1682,301,0
302,1756,302,0
303,1819,303,0
304,1897,304,0
305,1975,305,0
306,2044,306,0
307,2125,307,0
308,2210,308,0
309,2287,309,0
310,2392,310,0
311,2488,311,0
312,2591,312,0
313,2699,313,0
314,2810,314,0
315,2925,315,0
316,3041,316,0
317,3165,317,0
318,3293,318,0
319,3416,319,0
320,3547,320,0
321,3690,321,0
322,3850,322,0
323,4006,323,0
324,4181,324,0
325,4341,325,0
326,4514,326,0
327,4702,327,0
328,4886,328,0
329,5106,329,0
330,5337,330,0
331,5567,331,0
332,5773,332,0
333,6016,333,0
334,6254,334,0
335,6514,335,0
336,6764,336,0
337,7036,337,0
338,7291,338,0
339,7574,339,0
340,7886,340,0
341,8189,341,0
342,8511,342,0
343,8865,343,0
344,9191,344,0
345,9572,345,0
346,9920,346,0
347,10312,347,0
348,10707,348,0
349,11128,349,0
350,11549,350,0
351,12016,351,0
352,12548,352,0
353,13066,353,0
354,13617,354,0
355,14182,355,0
356,14785,356,0
357,15382,357,0
358,16016,358,0
359,16618,359,0
360,17278,360,0
361,18006,361,0
362,18749,362,0
363,19516,363,0
364,20273,364,0
365,21080,365,0
366,21946,366,0
367,22844,367,0
368,23788,368,0
369,24735,369,0
370,25658,370,0
371,26636,371,0
372,27690,372,0
373,28777,373,0
374,29947,374,0
375,31161,375,0
